City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
luang prabang,19.8856,102.1347,72.7,100.0,100.0,0.89,LA,1722980608.0
kristiansund,63.1115,7.732,65.05,89.0,75.0,3.44,NO,1722980608.0
okulovka,58.4008,33.2908,56.32,94.0,41.0,2.93,RU,1722980609.0
moussoro,13.6408,16.4901,81.23,66.0,100.0,11.18,TD,1722980609.0
tezu,27.9167,96.1667,73.94,99.0,29.0,3.65,IN,1722980609.0
chos malal,-37.3781,-70.2709,38.89,63.0,82.0,4.83,AR,1722980609.0
marshall,34.3834,-86.3333,94.84,52.0,0.0,10.36,US,1722980140.0
am timan,11.0297,20.2827,72.23,93.0,100.0,5.39,TD,1722980609.0
yaren,-0.5472,166.916,82.71,70.0,90.0,4.54,NR,1722980609.0
birao,10.2849,22.7882,72.03,91.0,96.0,3.91,CF,1722980609.0
camalu,30.85,-116.0667,74.1,67.0,100.0,6.78,MX,1722980609.0
pangoa,-12.1167,-73.0,76.12,85.0,46.0,2.68,PE,1722980609.0
pisco,-13.7,-76.2167,66.25,72.0,22.0,20.71,PE,1722980500.0
balabac,7.9868,117.0645,80.55,82.0,99.0,5.84,PH,1722980609.0
sao miguel do tapuio,-5.5036,-41.3233,79.27,38.0,100.0,5.41,BR,1722980609.0
ust'-barguzin,53.45,108.9833,57.43,76.0,43.0,4.0,RU,1722980609.0
anloga,5.7947,0.8973,76.35,82.0,95.0,15.57,GH,1722980610.0
aripuana,-9.1667,-60.6333,84.29,33.0,51.0,2.08,BR,1722980610.0
zhanaozen,43.3,52.8,90.86,26.0,81.0,9.78,KZ,1722980610.0
nanga eboko,4.6833,12.3667,67.89,99.0,97.0,5.03,CM,1722980610.0
tual,-5.6667,132.75,77.54,85.0,76.0,18.41,ID,1722980610.0
broome,42.2506,-75.833,72.68,89.0,75.0,6.91,US,1722980610.0
hawaiian paradise park,19.5933,-154.9731,84.72,70.0,40.0,5.75,US,1722980610.0
dryden,49.7833,-92.7503,73.69,35.0,20.0,6.91,CA,1722980610.0
novaya igirma,57.1334,103.9112,61.74,68.0,91.0,2.17,RU,1722980610.0
inarajan village,13.2736,144.7484,81.57,95.0,22.0,0.89,GU,1722980610.0
mecitozu,40.52,35.2953,66.69,94.0,21.0,3.42,TR,1722980610.0
tadmur,34.5608,38.2805,81.91,33.0,0.0,15.97,SY,1722980610.0
flin flon,54.7682,-101.865,64.24,63.0,100.0,14.97,CA,1722980610.0
kaspiyskiy,45.3929,47.3707,82.02,43.0,0.0,12.95,RU,1722980610.0
cidade velha,14.9167,-23.6167,81.07,74.0,75.0,10.36,CV,1722980611.0
la'ie,21.6477,-157.9253,86.0,72.0,8.0,7.0,US,1722980611.0
lethem,3.3803,-59.7968,89.65,70.0,20.0,11.5,GY,1722980611.0
qarazhal,48.0078,70.7903,75.25,34.0,0.0,8.21,KZ,1722980611.0
burumburum,11.3911,8.7234,71.96,89.0,98.0,9.69,NG,1722980611.0
midwest city,35.4495,-97.3967,104.83,28.0,0.0,6.91,US,1722980611.0
tazacorte,28.629,-17.9293,74.37,90.0,100.0,13.8,ES,1722980611.0
opuwo,-18.0607,13.84,63.88,32.0,0.0,3.74,NA,1722980611.0
naze,28.3667,129.4833,77.92,81.0,4.0,1.3,JP,1722980467.0
belem de sao francisco,-8.7539,-38.9658,77.29,56.0,24.0,23.62,BR,1722980611.0
hami,42.8,93.45,87.13,16.0,100.0,9.31,CN,1722980611.0
crane,31.3974,-102.3501,97.45,19.0,0.0,10.45,US,1722980611.0
roma,43.2128,-75.4557,73.54,68.0,75.0,5.75,US,1722980375.0
sicuani,-14.2694,-71.2261,56.37,37.0,49.0,11.68,PE,1722980612.0
concepcion del oro,24.6333,-101.4167,77.4,26.0,67.0,5.1,MX,1722980612.0
santo antonio,-6.3106,-35.4789,71.64,86.0,51.0,11.18,BR,1722980612.0
bereza,53.5183,50.1397,64.42,88.0,0.0,4.47,RU,1722980612.0
bulgan,48.8125,103.5347,55.69,86.0,96.0,4.09,MN,1722980612.0
rio grande,-32.035,-52.0986,64.51,98.0,100.0,12.95,BR,1722980612.0
cadale,2.7603,46.3222,76.82,89.0,32.0,18.68,SO,1722980617.0
todos santos,23.45,-110.2167,83.44,75.0,100.0,20.22,MX,1722980617.0
taunggyi,20.7833,97.0333,64.11,98.0,100.0,3.04,MM,1722980441.0
swan hill,-35.3378,143.5544,42.98,84.0,6.0,5.12,AU,1722980617.0
tejar,9.7462,-84.2337,77.25,92.0,96.0,2.93,CR,1722980617.0
horta,38.5333,-28.6333,76.64,83.0,40.0,9.22,PT,1722980617.0
mossel bay,-34.1831,22.146,48.13,74.0,0.0,4.85,ZA,1722980618.0
cidreira,-30.1811,-50.2056,62.64,95.0,97.0,19.86,BR,1722980618.0
beyneu,45.3167,55.2,88.21,27.0,51.0,12.21,KZ,1722980618.0
cheremushki,52.8356,91.3944,57.92,89.0,84.0,4.41,RU,1722980618.0
boguchany,58.3814,97.4531,60.96,99.0,92.0,3.36,RU,1722980618.0
tshikapa,-6.4167,20.8,76.77,29.0,48.0,1.1,CD,1722980436.0
sanming,26.2486,117.6186,75.18,93.0,2.0,1.12,CN,1722980538.0
al kharj,24.155,47.3346,95.58,9.0,100.0,8.39,SA,1722980618.0
lusambo,-4.9667,23.45,70.66,32.0,18.0,1.95,CD,1722980618.0
tsiombe,-25.3,45.4833,68.09,77.0,70.0,8.01,MG,1722980618.0
wuhai,39.6647,106.8122,70.36,60.0,0.0,5.77,CN,1722980618.0
aberdeen,57.1437,-2.0981,59.54,72.0,11.0,11.5,GB,1722980430.0
mount pleasant,32.7941,-79.8626,80.06,94.0,75.0,13.8,US,1722980432.0
polyarnyy,69.1989,33.4478,55.0,55.0,6.0,9.51,RU,1722980619.0
madimba,-10.4,40.3333,70.12,86.0,0.0,8.39,TZ,1722980619.0
sogndal,61.2283,7.1003,68.38,72.0,100.0,0.0,NO,1722980619.0
battagram,34.6772,73.0233,73.42,89.0,37.0,3.56,PK,1722980619.0
gogrial,8.5332,28.1004,76.21,76.0,99.0,4.5,SS,1722980619.0
viradouro,-20.8731,-48.2969,73.87,32.0,0.0,4.43,BR,1722980619.0
igarka,67.4667,86.5833,46.53,72.0,20.0,16.89,RU,1722980619.0
queenstown,-31.8976,26.8753,47.43,26.0,0.0,2.35,ZA,1722980619.0
ambohitseheno,-18.783,47.7763,49.84,98.0,1.0,3.94,MG,1722980619.0
paka,4.6374,103.4368,76.93,94.0,57.0,1.14,MY,1722980619.0
bjelovar,45.8986,16.8489,66.07,64.0,8.0,4.18,HR,1722980619.0
klaksvik,62.2266,-6.589,52.72,91.0,77.0,21.45,FO,1722980619.0
villa elisa,-25.3667,-57.6167,81.99,66.0,99.0,4.61,PY,1722980620.0
les avirons,-21.2418,55.3394,64.49,64.0,75.0,8.05,RE,1722980620.0
lospalos,-8.5186,127.0025,66.65,94.0,40.0,5.44,TL,1722980620.0
brisas de zicatela,15.8369,-97.0419,86.13,66.0,100.0,5.1,MX,1722980620.0
sisimiut,66.9395,-53.6735,43.43,87.0,100.0,4.36,GL,1722980620.0
nantucket,41.2835,-70.0995,69.85,94.0,100.0,12.66,US,1722980586.0
mersing,2.4312,103.8405,75.11,94.0,20.0,6.91,MY,1722980620.0
leer,53.2316,7.461,70.95,82.0,35.0,6.6,DE,1722980620.0
carboneras,37.0015,-1.9213,82.31,67.0,0.0,4.07,ES,1722980620.0
rio verde,21.9333,-99.9833,86.54,46.0,12.0,12.08,MX,1722980620.0
bol,13.4586,14.7147,79.38,83.0,71.0,10.65,TD,1722980620.0
abepura,-2.6333,140.5833,77.81,94.0,20.0,4.61,ID,1722980620.0
rikaze,29.25,88.8833,57.18,57.0,98.0,3.53,CN,1722980620.0
sinabang,2.4803,96.3801,75.27,97.0,100.0,6.51,ID,1722980621.0
shagonar,51.5333,92.8,56.7,76.0,36.0,1.63,RU,1722980621.0
formosa,-26.1775,-58.1781,83.46,34.0,100.0,5.28,AR,1722980364.0
buka,40.8108,69.1986,70.7,32.0,0.0,8.72,UZ,1722980626.0
dedougou,12.4667,-3.4667,76.53,89.0,60.0,7.56,BF,1722980399.0
coron,11.9986,120.2043,79.16,88.0,82.0,3.11,PH,1722980626.0
tarija,-21.5355,-64.7296,80.51,22.0,40.0,11.5,BO,1722980626.0
hammerfest,70.6634,23.6821,63.05,59.0,6.0,8.05,NO,1722980626.0
kapa'a,22.0752,-159.319,83.48,66.0,0.0,11.5,US,1722980626.0
beira,-19.8436,34.8389,73.49,94.0,20.0,8.05,MZ,1722980626.0
palasa,18.7667,84.4167,77.04,95.0,100.0,5.12,IN,1722980626.0
alaghsas,17.0187,8.0168,94.44,31.0,9.0,3.87,NE,1722980626.0
mugumu,-1.85,34.7,63.7,69.0,3.0,3.18,TZ,1722980626.0
labytnangi,66.6572,66.4183,42.82,76.0,0.0,4.16,RU,1722980626.0
prieska,-29.6641,22.7474,50.16,23.0,0.0,0.94,ZA,1722980627.0
maumere,-8.6199,122.2111,74.66,85.0,70.0,3.18,ID,1722980627.0
sa pa,22.3402,103.8441,61.21,95.0,92.0,1.01,VN,1722980627.0
banda aceh,5.5577,95.3222,79.11,79.0,96.0,12.93,ID,1722980627.0
korsakov,46.6328,142.7813,62.44,89.0,18.0,5.21,RU,1722980627.0
baranchinskiy,58.1617,59.6991,52.93,96.0,100.0,4.27,RU,1722980627.0
flying fish cove,-10.4217,105.6791,74.88,88.0,75.0,12.66,CX,1722980627.0
oranjemund,-28.55,16.4333,53.8,74.0,57.0,1.95,NA,1722980627.0
bijapur,16.8333,75.7,72.19,91.0,100.0,13.33,IN,1722980627.0
concepcion,-36.827,-73.0498,49.8,66.0,40.0,8.05,CL,1722980504.0
minna,9.6139,6.5569,78.51,89.0,20.0,4.61,NG,1722980627.0
kayangel,8.0823,134.7173,83.8,75.0,100.0,9.71,PW,1722980627.0
yeppoon,-23.1333,150.7333,65.25,89.0,58.0,7.96,AU,1722980628.0
petawawa,45.9001,-77.3328,72.99,44.0,75.0,6.91,CA,1722980628.0
eldorado at santa fe,35.5264,-105.9347,91.85,18.0,0.0,8.05,US,1722980628.0
maceio,-9.6658,-35.7353,71.04,88.0,75.0,5.75,BR,1722980424.0
cockburn town,21.4612,-71.1419,82.72,84.0,82.0,16.67,TC,1722980628.0
ebon,4.582,168.6964,82.44,71.0,99.0,5.17,MH,1722980628.0
jumla,29.2747,82.1838,60.22,98.0,100.0,2.66,NP,1722980628.0
ambovombe,-25.1667,46.0833,67.66,79.0,69.0,10.8,MG,1722980628.0
palo santo,-25.5633,-59.3378,80.15,44.0,100.0,6.73,AR,1722980628.0
port douglas,-16.4833,145.4667,69.53,81.0,72.0,2.89,AU,1722980628.0
barcelos,41.5388,-8.6151,71.85,96.0,5.0,1.28,PT,1722980628.0
eraan,9.0629,117.7016,78.21,90.0,100.0,3.42,PH,1722980628.0
saltillo,25.4167,-101.0,84.29,40.0,40.0,13.8,MX,1722980400.0
padang,-0.9492,100.3543,77.05,89.0,99.0,4.23,ID,1722980629.0
fallon,39.4735,-118.7774,100.92,18.0,20.0,6.91,US,1722980629.0
ormara,25.2088,64.6357,82.11,86.0,100.0,16.46,PK,1722980629.0
san luis,-33.295,-66.3356,46.09,61.0,67.0,11.41,AR,1722980531.0
sho'rchi,38.0141,67.7899,83.28,19.0,0.0,1.07,UZ,1722980629.0
juneau,58.3019,-134.4197,77.11,100.0,40.0,6.91,US,1722980629.0
ibadan,7.3878,3.8964,72.21,89.0,90.0,4.99,NG,1722980629.0
kununurra,-15.7667,128.7333,64.38,88.0,36.0,0.0,AU,1722980629.0
vel'sk,61.0701,42.0983,53.98,97.0,93.0,3.8,RU,1722980629.0
floro,61.5996,5.0328,66.27,94.0,100.0,6.91,NO,1722980629.0
protaras,35.0125,34.0583,79.0,89.0,0.0,1.01,CY,1722980629.0
agat village,13.3886,144.6585,81.54,88.0,0.0,0.0,GU,1722980629.0
acapulco de juarez,16.8634,-99.8901,89.42,70.0,40.0,10.36,MX,1722980629.0
morro agudo,-20.7314,-48.0578,74.17,34.0,0.0,1.72,BR,1722980629.0
lorengau,-2.0226,147.2712,82.29,79.0,100.0,9.19,PG,1722980635.0
kourou,5.1552,-52.6478,80.65,83.0,16.0,7.16,GF,1722980635.0
nyala,12.05,24.8833,76.62,74.0,95.0,12.88,SD,1722980635.0
grand baie,-20.0182,57.5802,67.44,82.0,2.0,1.01,MU,1722980635.0
mangrol,21.1167,70.1167,82.15,81.0,97.0,19.53,IN,1722980635.0
liuhe,42.2401,125.7172,70.9,95.0,51.0,3.42,CN,1722980635.0
tuy hoa,13.0833,109.3,74.93,91.0,13.0,4.52,VN,1722980635.0
mandalgovi,45.7625,106.2708,64.51,58.0,12.0,16.11,MN,1722980635.0
richland,40.7834,-82.5499,74.16,81.0,40.0,9.22,US,1722980635.0
kyren,51.6828,102.1408,54.82,95.0,33.0,2.42,RU,1722980635.0
cruzeiro do sul,-29.5128,-51.9853,70.52,93.0,84.0,3.13,BR,1722980635.0
asadabad,34.7824,48.1185,76.95,20.0,2.0,2.64,IR,1722980635.0
kavaratti,10.5669,72.642,80.74,84.0,100.0,10.38,IN,1722980635.0
sechura,-5.5569,-80.8222,70.9,62.0,1.0,21.99,PE,1722980636.0
pariaman,-0.619,100.12,77.05,87.0,84.0,4.0,ID,1722980636.0
gujo,35.7369,136.9585,79.74,90.0,91.0,1.39,JP,1722980636.0
shrirangapattana,12.4136,76.7042,71.11,91.0,100.0,5.28,IN,1722980636.0
prabumulih,-3.45,104.25,70.23,99.0,73.0,3.0,ID,1722980636.0
bardai,11.65,7.2333,71.47,91.0,59.0,10.54,NG,1722980636.0
ghanzi,-21.5667,21.7833,60.06,33.0,0.0,5.01,BW,1722980636.0
gusinoozyorsk,51.2833,106.5,58.98,82.0,43.0,6.35,RU,1722980636.0
vila franca do campo,37.7167,-25.4333,75.61,91.0,37.0,4.23,PT,1722980636.0
ilha de mocambique,-15.0342,40.7358,75.52,74.0,0.0,12.97,MZ,1722980636.0
porto franco,-6.3383,-47.3992,84.47,29.0,15.0,4.12,BR,1722980636.0
kas,36.2018,29.6377,82.29,58.0,0.0,2.26,TR,1722980636.0
mazidagi,37.4775,40.4881,81.97,22.0,0.0,6.06,TR,1722980636.0
asau,46.4333,26.4,63.52,91.0,76.0,4.07,RO,1722980636.0
choibalsan,48.0667,114.5,60.17,77.0,0.0,7.49,MN,1722980637.0
kameoka,35.0,135.5833,82.42,82.0,39.0,3.76,JP,1722980637.0
ermoupolis,37.4423,24.9425,81.97,50.0,0.0,4.61,GR,1722980637.0
antsiranana,-12.2787,49.2917,71.11,83.0,10.0,13.24,MG,1722980637.0
dokshytsy,54.8924,27.7689,57.69,92.0,57.0,6.24,BY,1722980430.0
el calafate,-50.3408,-72.2768,26.91,78.0,11.0,2.28,AR,1722980637.0
luanda,-8.8368,13.2343,69.8,83.0,75.0,5.75,AO,1722980462.0
haiku-pauwela,20.9219,-156.3051,83.17,67.0,40.0,23.02,US,1722980637.0
maughold,54.2988,-4.3184,58.23,84.0,44.0,7.47,IM,1722980637.0
kirakira,-10.4544,161.9205,80.62,80.0,77.0,13.44,SB,1722980637.0
san felipe,10.3399,-68.7425,84.67,55.0,50.0,3.65,VE,1722980637.0
dampit,-8.2116,112.7493,69.12,97.0,87.0,4.72,ID,1722980637.0
big spring,32.2504,-101.4787,99.23,28.0,75.0,5.75,US,1722980638.0
tarauaca,-8.1614,-70.7656,84.7,61.0,82.0,2.13,BR,1722980638.0
laramie,41.3114,-105.5911,86.95,21.0,57.0,12.03,US,1722980461.0
krasnoshchekovo,51.6708,82.7289,59.05,88.0,79.0,5.7,RU,1722980638.0
chibougamau,49.9168,-74.3659,64.02,45.0,75.0,10.36,CA,1722980638.0
porto murtinho,-21.6989,-57.8825,86.74,21.0,100.0,5.7,BR,1722980638.0
san luis de la loma,17.2706,-100.8939,86.65,68.0,88.0,7.27,MX,1722980638.0
bam,29.106,58.357,92.95,13.0,5.0,7.07,IR,1722980638.0
teofilo otoni,-17.8575,-41.5053,70.07,69.0,55.0,5.91,BR,1722980638.0
isla vista,34.4133,-119.861,100.99,48.0,4.0,4.94,US,1722980638.0
hilo,19.7297,-155.09,84.94,74.0,40.0,5.75,US,1722980638.0
cachoeira do sul,-30.0392,-52.8939,66.13,98.0,58.0,5.91,BR,1722980644.0
port blair,11.6667,92.75,78.84,89.0,100.0,2.3,IN,1722980644.0
mostaganem,35.9311,0.0892,78.28,76.0,4.0,4.85,DZ,1722980644.0
xiaoweizhai,26.1903,107.5125,70.12,98.0,14.0,3.29,CN,1722980528.0
salekhard,66.53,66.6019,42.21,78.0,0.0,4.07,RU,1722980644.0
kittila,67.6647,24.8936,53.74,82.0,0.0,3.44,FI,1722980644.0
kingscliff,-28.2667,153.5667,61.77,72.0,92.0,9.22,AU,1722980644.0
raduzhny,62.0961,77.475,48.6,72.0,78.0,9.06,RU,1722980644.0
zeya,53.75,127.2667,64.96,76.0,88.0,2.17,RU,1722980644.0
zalingei,12.9096,23.4741,71.51,89.0,100.0,6.26,SD,1722980644.0
santiago de cao,-7.9589,-79.2392,62.73,88.0,75.0,13.8,PE,1722980644.0
valle de la pascua,9.2155,-66.0073,81.34,83.0,67.0,0.51,VE,1722980644.0
sorong,-0.8833,131.25,77.04,90.0,51.0,9.06,ID,1722980645.0
kampong speu,11.5,104.3333,75.24,91.0,99.0,5.08,KH,1722980645.0
gizo,-8.103,156.8419,81.5,79.0,35.0,8.32,SB,1722980645.0
huaicheng,23.9051,112.1931,78.66,87.0,2.0,0.25,CN,1722980645.0
nova vicosa,-17.8919,-39.3719,72.19,74.0,0.0,8.03,BR,1722980645.0
hauterive,46.0901,3.4459,77.76,95.0,61.0,3.42,FR,1722980645.0
zaruma,-3.6833,-79.6167,64.35,79.0,88.0,4.21,EC,1722980645.0
howard springs,-12.497,131.047,73.31,85.0,13.0,5.79,AU,1722980645.0
ramanuj ganj,23.8,83.7,74.97,96.0,100.0,2.01,IN,1722980645.0
itajuba,-22.4256,-45.4528,75.15,47.0,19.0,2.71,BR,1722980645.0
mpika,-11.8343,31.4529,57.0,40.0,0.0,4.0,ZM,1722980645.0
roberval,48.5168,-72.2324,66.83,55.0,75.0,5.75,CA,1722980645.0
krasnovishersk,60.4078,57.082,52.39,93.0,92.0,3.87,RU,1722980645.0
vila do maio,15.1333,-23.2167,81.39,83.0,99.0,12.28,CV,1722980646.0
umatilla,45.5001,-118.5014,83.19,21.0,0.0,3.44,US,1722980646.0
bereznik,62.8551,42.7072,51.75,68.0,0.0,3.44,RU,1722980646.0
vokhtoga,58.8147,41.0461,56.39,99.0,86.0,3.53,RU,1722980646.0
